VOGAL,F1,F2,AMOSTRA
u,448.5299062884,1224.9938439479,PBSP
i,444.1610089651,1669.1655873278,PBSP
e,423.3274463031,1622.6007433783,PBSP
u,567.2748699759,1156.8280400727,PBSP
i,452.4991821585,1866.9166212792,PBSP
a,630.9044943867,1241.6521912689,PBSP
u,432.2818359046,1146.5609395544,PBSP
u,380.0885910756,1212.8419244051,PBSP
i,470.9634793033,1960.0211628362,PBSP
a,664.6805582929,1421.5019071923,PBSP
e,548.8788839969,1625.5728095686,PBSP
a,573.2380186561,1467.4853469922,PBSP
e,492.4702305775,1623.6626356269,PBSP
e,607.426890481,1581.7965704078,PBSP
i,471.4348333854,1797.1155910983,PBSP
e,571.6356626443,1684.4079776375,PBSP
e,624.7226492473,1700.3355520336,PBSP
e,464.241309157,1599.55232763,PBSP
u,450.6342118525,1164.639348945,PBSP
i,440.4762759235,1905.7302955335,PBSP
i,435.1941934856,1917.3858670574,PBSP
i,438.5962239587,1794.1456723653,PBSP
i,491.7226654755,1715.1358268337,PBSP
i,441.3496539934,1530.1511411736,PBSP
i,364.4423139477,1500.859625404,PBSP
e,598.32919946,1833.8305386826,PBSP
e,551.4142658331,1919.5466199083,PBSP
e,437.5740830908,1873.4202497834,PBSP
e,684.0578443746,1503.5018383909,PBSP
e,532.636066454,1561.8611140333,PBSP
i,578.2919382095,1535.9559607737,PBSP
u,456.0268993172,957.994636821,PBSP
i,317.9254786226,2124.0398406993,PBSP
e,385.6122610405,1834.210987793,PBSP
i,425.8386905799,1594.3928063724,PBSP
i,578.9013685246,1529.1428796133,PBSP
u,458.6075701444,1044.3646414493,PBSP
i,432.2937568517,1593.011101416,PBSP
u,541.218883227,1188.7565490737,PBSP
i,412.9874229363,1656.6750380977,PBSP
i,411.6531013647,1357.4567826457,PBSP
e,428.5292414331,1725.0195279929,PBSP
u,529.4762462952,1003.012069331,PBSP
i,465.1172910058,1735.3294921533,PBSP
e,598.2566437336,1918.4938494062,PBSP
e,511.6734631692,1716.1371381205,PBSP
e,518.9071428172,1787.3203572064,PBSP
i,408.4197662066,1751.4501915665,PBSP
e,557.8497316155,1763.9925710397,PBSP
e,691.9925669274,1671.0738442109,PBSP
u,411.6438011598,1205.9519308634,PBSP
e,421.446849151,1681.4337956481,PBSP
e,533.5047034502,1904.935705679,PBSP
i,550.9591406548,1527.5448474244,PBSP
i,465.3081177621,1791.0369457473,PBSP
i,460.3005268711,1819.5079329721,PBSP
i,501.6958915369,1470.3431252137,PBSP
i,496.2042952118,1809.3936583608,PBSP
u,432.1398574804,1101.5569795589,PBSP
e,558.8379678865,1442.162524097,PBSP
i,420.4522196707,1461.7658512096,PBSP
i,473.4571289789,1983.2806785395,PBSP
u,414.4097729008,1056.7122382242,PBSP
e,512.5931814909,1614.0089217184,PBSP
e,641.4297715472,1662.7714456936,PBSP
e,589.0885948434,1400.0001731364,PBSP
e,574.4017296142,1459.9921770986,PBSP
e,589.5663451342,1601.268618279,PBSP
e,586.4973787742,1690.2915404064,PBSP
e,548.544066982,1438.2738312724,PBSP
e,575.33194376230006,1462.2041653372,PBSP
e,438.2905432083,1716.5430453968,PBSP
e,446.0739518621,1832.6426615087,PBSP
e,508.4149152381,1809.1434542779,PBSP
e,590.8073176435,1700.6434946221,PBSP
e,575.8237970029,1762.8991077517,PBSP
e,537.6920371599,1785.3104064414,PBSP
e,496.4690096167,1558.3752135281,PBSP
e,440.0310163261,1867.1611945953,PBSP
e,665.6499048898,1398.5405637668,PBSP
e,588.3318639218,1595.9970752299,PBSP
u,417.76421581,1069.9754561958,PBSP
